,word,book_count,book_frequency,show_count,show_frequency
0,sir,336.0,0.01249302844394869,21.0,0.001791044776119403
1,upon,316.0,0.011749395798475552,,
2,said,240.0,0.008923591745677636,17.0,0.0014498933901918977
3,one,238.0,0.008849228481130322,47.0,0.0040085287846481875
4,man,211.0,0.007845324409741587,39.0,0.003326226012793177
5,could,201.0,0.00747350808700502,12.0,0.001023454157782516
6,would,193.0,0.007176055028815765,14.0,0.0011940298507462687
7,holmes,191.0,0.007101691764268452,21.0,0.001791044776119403
8,us,172.0,0.006395240751068972,9.0,0.000767590618336887
9,henry,151.0,0.005614426473322179,158.0,0.013475479744136461
10,moor,149.0,0.005540063208774865,9.0,0.000767590618336887
11,may,117.0,0.004350250976017847,4.0,0.0003411513859275053
12,know,115.0,0.0042758877114705334,49.0,0.00417910447761194
13,see,114.0,0.0042387060791968766,52.0,0.004434968017057569
14,baskerville,111.0,0.004127161182375906,25.0,0.0021321961620469083
15,watson,110.0,0.00408997955010225,3.0,0.000255863539445629
16,well,99.0,0.0036809815950920245,38.0,0.0032409381663113007
17,must,96.0,0.0035694366982710543,15.0,0.001279317697228145
18,charles,94.0,0.0034950734337237405,,
19,stapleton,92.0,0.0034207101691764268,24.0,0.002046908315565032
20,project,89.0,0.0033091652723554565,10.0,0.0008528784648187633
21,might,88.0,0.0032719836400817996,9.0,0.000767590618336887
22,mortimer,87.0,0.0032348020078081428,9.0,0.000767590618336887
23,come,87.0,0.0032348020078081428,25.0,0.0021321961620469083
24,think,85.0,0.003160438743260829,13.0,0.0011087420042643922
25,time,80.0,0.002974530581892545,24.0,0.002046908315565032
26,two,78.0,0.0029001673173452316,20.0,0.0017057569296375266
27,face,76.0,0.002825804052797918,48.0,0.004093816631130064
28,much,76.0,0.002825804052797918,14.0,0.0011940298507462687
29,last,73.0,0.002714259155976947,14.0,0.0011940298507462687
30,back,73.0,0.002714259155976947,112.0,0.00955223880597015
31,barrymore,72.0,0.0026770775237032907,17.0,0.0014498933901918977
32,hound,72.0,0.0026770775237032907,42.0,0.003582089552238806
33,came,72.0,0.0026770775237032907,8.0,0.0006823027718550107
34,long,70.0,0.002602714259155977,14.0,0.0011940298507462687
35,say,70.0,0.002602714259155977,13.0,0.0011087420042643922
36,night,69.0,0.00256553262688232,15.0,0.001279317697228145
37,eyes,69.0,0.00256553262688232,69.0,0.005884861407249467
38,tell,68.0,0.002528350994608663,15.0,0.001279317697228145
39,old,66.0,0.00245398773006135,9.0,0.000767590618336887
40,house,65.0,0.002416806097787693,6.0,0.000511727078891258
41,heard,65.0,0.002416806097787693,10.0,0.0008528784648187633
42,work,65.0,0.002416806097787693,5.0,0.00042643923240938164
43,never,65.0,0.002416806097787693,22.0,0.0018763326226012792
